locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNMCCAHI_01512	CDS	882	pgdA_1	3.5.1.-		Peptidoglycan deacetylase
HNMCCAHI_01513	CDS	330				hypothetical protein
HNMCCAHI_01514	CDS	561	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase
HNMCCAHI_01515	CDS	768				hypothetical protein
HNMCCAHI_01516	CDS	903	lnrL_2	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
HNMCCAHI_01517	CDS	1881		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
HNMCCAHI_01518	CDS	1866		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
HNMCCAHI_01519	CDS	654				hypothetical protein
HNMCCAHI_01520	CDS	438				hypothetical protein
HNMCCAHI_01521	CDS	291				hypothetical protein
HNMCCAHI_01522	CDS	2874				hypothetical protein
HNMCCAHI_01523	CDS	1572		3.4.-.-		Transglutaminase-activating metalloprotease
HNMCCAHI_01524	CDS	2661	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
HNMCCAHI_01525	CDS	1215		3.4.21.-		Extracellular serine proteinase
HNMCCAHI_01526	CDS	2004	glgE1	2.4.99.16	COG0366	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1
HNMCCAHI_01527	CDS	1740	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
HNMCCAHI_01528	CDS	1467	mak	2.7.1.175	COG3281	Maltokinase
HNMCCAHI_01529	CDS	393				hypothetical protein
HNMCCAHI_01530	CDS	1035				hypothetical protein
HNMCCAHI_01531	CDS	1431	ykoD	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
HNMCCAHI_01532	CDS	1089				hypothetical protein
HNMCCAHI_01533	CDS	1515				hypothetical protein
HNMCCAHI_01534	CDS	546				hypothetical protein
HNMCCAHI_01535	CDS	927				hypothetical protein
HNMCCAHI_01536	CDS	243				hypothetical protein
HNMCCAHI_01537	CDS	438				hypothetical protein
HNMCCAHI_01538	CDS	414			COG3039	IS5 family transposase IS1648
HNMCCAHI_01539	CDS	426				hypothetical protein
HNMCCAHI_01540	CDS	432				hypothetical protein
HNMCCAHI_01541	CDS	1335	dgt		COG0232	Deoxyguanosinetriphosphate triphosphohydrolase-like protein
HNMCCAHI_01542	CDS	756				hypothetical protein
HNMCCAHI_01543	CDS	966	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
HNMCCAHI_01544	CDS	1557				hypothetical protein
HNMCCAHI_01545	CDS	993	yajO_2	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
HNMCCAHI_01546	CDS	1050		1.-.-.-		Putative coenzyme F420-dependent oxidoreductase
HNMCCAHI_01547	CDS	2511	relA		COG0317	Bifunctional (p)ppGpp synthase/hydrolase RelA
HNMCCAHI_01548	CDS	501				hypothetical protein
HNMCCAHI_01549	CDS	1230				putative protein/MSMEI_2664
HNMCCAHI_01550	CDS	831				hypothetical protein
HNMCCAHI_01551	CDS	720		3.-.-.-		putative protein
HNMCCAHI_01552	CDS	1263	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
HNMCCAHI_01553	CDS	699				hypothetical protein
HNMCCAHI_01554	CDS	618			COG2256	putative AAA domain-containing protein
HNMCCAHI_01555	CDS	615	rpsD		COG0522	30S ribosomal protein S4
HNMCCAHI_01556	CDS	453				hypothetical protein
HNMCCAHI_01557	CDS	363				hypothetical protein
HNMCCAHI_01558	CDS	2673	alaS_2	6.1.1.7	COG0013	Alanine--tRNA ligase
HNMCCAHI_01559	CDS	477		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
HNMCCAHI_01560	CDS	1854	mltG_2	4.2.2.-		Endolytic murein transglycosylase
HNMCCAHI_01561	CDS	843	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
HNMCCAHI_01562	CDS	1554				hypothetical protein
HNMCCAHI_01563	CDS	1086				hypothetical protein
HNMCCAHI_01564	CDS	1983		2.3.1.41	COG3321	Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
HNMCCAHI_01565	CDS	1179				hypothetical protein
HNMCCAHI_01566	CDS	4533	pikAI_3	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2
HNMCCAHI_01567	tRNA	73				tRNA-Arg(ccg)
HNMCCAHI_01568	CDS	1047				hypothetical protein
HNMCCAHI_01569	CDS	1068				hypothetical protein
HNMCCAHI_01570	CDS	813				hypothetical protein
HNMCCAHI_01571	CDS	468				hypothetical protein
HNMCCAHI_01572	CDS	792			COG0637	putative protein
HNMCCAHI_01573	CDS	2388		3.2.1.-	COG0637	putative glycosyl hydrolase
HNMCCAHI_01574	CDS	1068				hypothetical protein
HNMCCAHI_01575	CDS	2580				hypothetical protein
HNMCCAHI_01576	CDS	1056	yfeW_1	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
HNMCCAHI_01577	CDS	867	xynR_1		COG1414	HTH-type transcriptional regulator XynR
HNMCCAHI_01578	CDS	1572	gsiB		COG0747	Glutathione-binding protein GsiB
HNMCCAHI_01579	CDS	993	nikB		COG0601	Nickel transport system permease protein NikB
HNMCCAHI_01580	CDS	915	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
HNMCCAHI_01581	CDS	1431				hypothetical protein
HNMCCAHI_01582	CDS	690	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HNMCCAHI_01583	CDS	618				hypothetical protein
HNMCCAHI_01584	CDS	345	trxA		COG0526	Thioredoxin 1
HNMCCAHI_01585	CDS	972	trxB	1.8.1.9	COG0492	Thioredoxin reductase
HNMCCAHI_01586	CDS	1053				hypothetical protein
HNMCCAHI_01587	CDS	495				hypothetical protein
HNMCCAHI_01588	CDS	1698				hypothetical protein
HNMCCAHI_01589	CDS	2190	murJ			lipid II flippase MurJ
HNMCCAHI_01590	CDS	2361				hypothetical protein
HNMCCAHI_01591	CDS	1575	cca	2.7.7.72		CCA-adding enzyme
HNMCCAHI_01592	CDS	867	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HNMCCAHI_01593	CDS	948				hypothetical protein
HNMCCAHI_01594	CDS	243				hypothetical protein
HNMCCAHI_01595	CDS	606				hypothetical protein
HNMCCAHI_01596	CDS	912	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
HNMCCAHI_01597	CDS	1251	yfmO			Multidrug efflux protein YfmO
HNMCCAHI_01598	CDS	618				hypothetical protein
HNMCCAHI_01599	CDS	1116	corA_1		COG0598	Cobalt/magnesium transport protein CorA
HNMCCAHI_01600	CDS	813				hypothetical protein
HNMCCAHI_01601	CDS	531				hypothetical protein
HNMCCAHI_01602	CDS	681				hypothetical protein
HNMCCAHI_01603	CDS	1275				hypothetical protein
HNMCCAHI_01604	CDS	603				hypothetical protein
HNMCCAHI_01605	CDS	1116	mrp		COG0489	Iron-sulfur cluster carrier protein
HNMCCAHI_01606	CDS	744				hypothetical protein
HNMCCAHI_01607	CDS	444	tatB			Sec-independent protein translocase protein TatB
HNMCCAHI_01608	CDS	1086	degP_1	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
HNMCCAHI_01609	CDS	1338				hypothetical protein
HNMCCAHI_01610	CDS	333				hypothetical protein
HNMCCAHI_01611	CDS	147				hypothetical protein
HNMCCAHI_01612	CDS	924	glkA_1	2.7.1.2		Glucokinase
HNMCCAHI_01613	CDS	1176	agaA	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
HNMCCAHI_01614	CDS	1071				hypothetical protein
HNMCCAHI_01615	CDS	1392		2.3.1.41	COG3321	Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
HNMCCAHI_01616	CDS	1089	ilvE_2	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
HNMCCAHI_01617	CDS	1041	leuB_2	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
HNMCCAHI_01618	CDS	1209	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
HNMCCAHI_01619	CDS	1248	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
HNMCCAHI_01620	CDS	1767	araB	2.7.1.16	COG1069	Ribulokinase
HNMCCAHI_01621	CDS	1299			COG0531	putative transporter
HNMCCAHI_01622	CDS	1044	lacI		COG1609	Lactose operon repressor
HNMCCAHI_01623	CDS	1122	sbpA			Multiple sugar-binding periplasmic protein SbpA
HNMCCAHI_01624	CDS	1581	xylG	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
HNMCCAHI_01625	CDS	1239	xylH		COG4214	Xylose transport system permease protein XylH
HNMCCAHI_01626	CDS	894				hypothetical protein
HNMCCAHI_01627	CDS	924	mprB	2.7.13.3	COG0642	Signal transduction histidine-protein kinase/phosphatase MprB
HNMCCAHI_01628	CDS	495				hypothetical protein
HNMCCAHI_01629	CDS	741	mprA_1		COG0745	Response regulator MprA
HNMCCAHI_01630	CDS	738	degP_2	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
HNMCCAHI_01631	CDS	2511	mdtD_3			Putative multidrug resistance protein MdtD
HNMCCAHI_01632	CDS	1602	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
HNMCCAHI_01633	CDS	249				hypothetical protein
HNMCCAHI_01634	CDS	273				hypothetical protein
HNMCCAHI_01635	CDS	1020				hypothetical protein
HNMCCAHI_01636	CDS	786				hypothetical protein
HNMCCAHI_01637	CDS	1005	drrA_3	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
HNMCCAHI_01638	CDS	744	drrB_2			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
HNMCCAHI_01639	CDS	504				hypothetical protein
HNMCCAHI_01640	CDS	561				hypothetical protein
HNMCCAHI_01641	CDS	465				hypothetical protein
HNMCCAHI_01642	CDS	780	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
HNMCCAHI_01643	CDS	1506				hypothetical protein
HNMCCAHI_01644	CDS	834				hypothetical protein
HNMCCAHI_01645	CDS	1038				hypothetical protein
HNMCCAHI_01646	CDS	321			COG1146	Ferredoxin
HNMCCAHI_01647	CDS	1281	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
HNMCCAHI_01648	CDS	309				hypothetical protein
HNMCCAHI_01649	CDS	1188		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
HNMCCAHI_01650	CDS	843	pikAV_2	3.1.2.-		Thioesterase PikA5
HNMCCAHI_01651	CDS	1557	lfrA		COG0477	Multidrug efflux pump LfrA
HNMCCAHI_01652	CDS	492				hypothetical protein
HNMCCAHI_01653	CDS	375				hypothetical protein
HNMCCAHI_01654	CDS	588				hypothetical protein
HNMCCAHI_01655	CDS	591	tetC			Transposon Tn10 TetC protein
HNMCCAHI_01656	CDS	858	betI_3			HTH-type transcriptional regulator BetI
HNMCCAHI_01657	CDS	450	kce	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
HNMCCAHI_01658	CDS	1017	lcdH_1	1.1.1.108		L-carnitine dehydrogenase
HNMCCAHI_01659	CDS	480	lcdH_2	1.1.1.108		L-carnitine dehydrogenase
HNMCCAHI_01660	CDS	1041				hypothetical protein
HNMCCAHI_01661	CDS	489				hypothetical protein
HNMCCAHI_01662	CDS	540				hypothetical protein
HNMCCAHI_01663	CDS	1428	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
HNMCCAHI_01664	CDS	579				hypothetical protein
HNMCCAHI_01665	CDS	444				hypothetical protein
HNMCCAHI_01666	CDS	1260				hypothetical protein
HNMCCAHI_01667	CDS	558	aqdR			HTH-type transcriptional regulator AqdR
HNMCCAHI_01668	CDS	1620	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
HNMCCAHI_01669	CDS	648	vatD	2.3.1.-		Streptogramin A acetyltransferase
HNMCCAHI_01670	CDS	1563	prmC_3	2.1.1.297		Release factor glutamine methyltransferase
HNMCCAHI_01671	CDS	576				hypothetical protein
HNMCCAHI_01672	CDS	429	spoIIAB	2.7.11.1		Anti-sigma F factor
HNMCCAHI_01673	CDS	342	rsbV_1		COG1366	Anti-sigma-B factor antagonist
HNMCCAHI_01674	CDS	2361	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
HNMCCAHI_01675	CDS	384				hypothetical protein
HNMCCAHI_01676	CDS	231				hypothetical protein
HNMCCAHI_01677	CDS	672				hypothetical protein
HNMCCAHI_01678	CDS	483				hypothetical protein
HNMCCAHI_01679	CDS	858				hypothetical protein
HNMCCAHI_01680	CDS	1158			COG4962	Putative conjugal transfer protein
HNMCCAHI_01681	CDS	1284				hypothetical protein
HNMCCAHI_01682	CDS	918	lnrL_3	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
HNMCCAHI_01683	CDS	759				hypothetical protein
HNMCCAHI_01684	CDS	687		1.14.13.-		Putative epoxidase LasC
HNMCCAHI_01685	CDS	918	ftsX		COG2177	Cell division protein FtsX
HNMCCAHI_01686	CDS	690	ftsE		COG2884	Cell division ATP-binding protein FtsE
HNMCCAHI_01687	CDS	192				hypothetical protein
HNMCCAHI_01688	CDS	1332				hypothetical protein
HNMCCAHI_01689	CDS	744				hypothetical protein
HNMCCAHI_01690	CDS	3492				hypothetical protein
HNMCCAHI_01691	CDS	708				hypothetical protein
HNMCCAHI_01692	CDS	1062				hypothetical protein
HNMCCAHI_01693	CDS	891				hypothetical protein
HNMCCAHI_01694	CDS	117				hypothetical protein
HNMCCAHI_01695	CDS	162	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
HNMCCAHI_01696	CDS	294				hypothetical protein
HNMCCAHI_01697	CDS	297				hypothetical protein
HNMCCAHI_01698	CDS	657				hypothetical protein
HNMCCAHI_01699	CDS	123	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
HNMCCAHI_01700	CDS	978	coaA	2.7.1.33	COG1072	Pantothenate kinase
HNMCCAHI_01701	CDS	327				hypothetical protein
HNMCCAHI_01702	CDS	561				hypothetical protein
HNMCCAHI_01703	CDS	351				hypothetical protein
HNMCCAHI_01704	CDS	3054				hypothetical protein
HNMCCAHI_01705	CDS	1593				hypothetical protein
HNMCCAHI_01706	CDS	579				hypothetical protein
HNMCCAHI_01707	CDS	1065				hypothetical protein
HNMCCAHI_01708	CDS	1293	nanK_1	2.7.1.60		N-acetylmannosamine kinase
HNMCCAHI_01709	CDS	1266	licH_1	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
HNMCCAHI_01710	CDS	837				hypothetical protein
HNMCCAHI_01711	CDS	1926				hypothetical protein
HNMCCAHI_01712	CDS	981	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
HNMCCAHI_01713	CDS	969	fgd1_1	1.1.98.2	COG2141	F420-dependent glucose-6-phosphate dehydrogenase
HNMCCAHI_01714	CDS	681	cbbY	3.1.3.-	COG0637	Protein CbbY
HNMCCAHI_01715	CDS	771				hypothetical protein
HNMCCAHI_01716	CDS	612				hypothetical protein
HNMCCAHI_01717	CDS	1395	gabD1_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
HNMCCAHI_01718	CDS	429				hypothetical protein
HNMCCAHI_01719	CDS	282				hypothetical protein
HNMCCAHI_01720	CDS	1665				hypothetical protein
HNMCCAHI_01721	CDS	831				hypothetical protein
HNMCCAHI_01722	CDS	726				hypothetical protein
HNMCCAHI_01723	CDS	1821	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
HNMCCAHI_01724	CDS	1071				hypothetical protein
HNMCCAHI_01725	CDS	177				hypothetical protein
HNMCCAHI_01726	CDS	786				hypothetical protein
HNMCCAHI_01727	CDS	1452				hypothetical protein
HNMCCAHI_01728	CDS	285				hypothetical protein
HNMCCAHI_01729	CDS	966	lieA	3.4.24.-		Leupeptin-inactivating enzyme 1
HNMCCAHI_01730	CDS	1449	gap2_1	1.2.1.-		Glyceraldehyde-3-phosphate dehydrogenase-like protein
HNMCCAHI_01731	CDS	1431	uacT		COG2233	Uric acid transporter UacT
HNMCCAHI_01732	CDS	1404	atzA	3.8.1.8		Atrazine chlorohydrolase
HNMCCAHI_01733	CDS	1014	vldW	1.14.11.52		Validamycin A dioxygenase
HNMCCAHI_01734	CDS	1221	amiC			Aliphatic amidase expression-regulating protein
HNMCCAHI_01735	CDS	897	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
HNMCCAHI_01736	CDS	1155				hypothetical protein
HNMCCAHI_01737	CDS	792	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
HNMCCAHI_01738	CDS	699	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
HNMCCAHI_01739	CDS	762	glpR		COG1349	Glycerol-3-phosphate regulon repressor
HNMCCAHI_01740	CDS	1368				hypothetical protein
HNMCCAHI_01741	CDS	969	sugA		COG1175	Trehalose transport system permease protein SugA
HNMCCAHI_01742	CDS	879	dasC_3		COG0395	Diacetylchitobiose uptake system permease protein DasC
HNMCCAHI_01743	CDS	537		1.1.1.407	COG1063	D-altritol 5-dehydrogenase
HNMCCAHI_01744	CDS	3081				hypothetical protein
HNMCCAHI_01745	CDS	1449	hsrA			putative transport protein HsrA
HNMCCAHI_01746	CDS	318				hypothetical protein
HNMCCAHI_01747	CDS	744	luxA_2	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
HNMCCAHI_01748	CDS	696				hypothetical protein
HNMCCAHI_01749	CDS	1416				hypothetical protein
HNMCCAHI_01750	CDS	537				hypothetical protein
HNMCCAHI_01751	CDS	1338	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
HNMCCAHI_01752	CDS	2064	kimA		COG0531	Potassium transporter KimA
HNMCCAHI_01753	CDS	657	trkA_1		COG0569	Trk system potassium uptake protein TrkA
HNMCCAHI_01754	CDS	714	trkA_2		COG0569	Trk system potassium uptake protein TrkA
HNMCCAHI_01755	CDS	990				hypothetical protein
HNMCCAHI_01756	CDS	630				hypothetical protein
HNMCCAHI_01757	CDS	1299	dasA_3		COG1653	Diacetylchitobiose binding protein DasA
HNMCCAHI_01758	CDS	789	dasR_1		COG2188	HTH-type transcriptional repressor DasR
HNMCCAHI_01759	CDS	282	hup		COG0776	DNA-binding protein HB1
HNMCCAHI_01760	CDS	1431		1.1.1.38		NAD-dependent malic enzyme
HNMCCAHI_01761	CDS	2388				hypothetical protein
HNMCCAHI_01762	CDS	588				hypothetical protein
HNMCCAHI_01763	CDS	603				hypothetical protein
HNMCCAHI_01764	CDS	789				hypothetical protein
HNMCCAHI_01765	CDS	1413				hypothetical protein
HNMCCAHI_01766	CDS	414			COG2018	Serine protease inhibitor
HNMCCAHI_01767	CDS	411				hypothetical protein
HNMCCAHI_01768	CDS	846	degU_1		COG2197	Transcriptional regulatory protein DegU
HNMCCAHI_01769	CDS	1179				hypothetical protein
HNMCCAHI_01770	CDS	765				hypothetical protein
HNMCCAHI_01771	CDS	510				hypothetical protein
HNMCCAHI_01772	CDS	738				hypothetical protein
HNMCCAHI_01773	CDS	852				hypothetical protein
HNMCCAHI_01774	CDS	465				hypothetical protein
HNMCCAHI_01775	CDS	591				hypothetical protein
HNMCCAHI_01776	CDS	504				hypothetical protein
HNMCCAHI_01777	CDS	645				hypothetical protein
HNMCCAHI_01778	CDS	489				hypothetical protein
HNMCCAHI_01779	CDS	1203	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
HNMCCAHI_01780	CDS	1605	actP		COG4147	Cation/acetate symporter ActP
HNMCCAHI_01781	CDS	339				hypothetical protein
HNMCCAHI_01782	CDS	840				hypothetical protein
HNMCCAHI_01783	CDS	861	mutM	4.2.99.18		Formamidopyrimidine-DNA glycosylase
HNMCCAHI_01784	CDS	525				hypothetical protein
HNMCCAHI_01785	CDS	1239	hutI_1	3.5.2.7		Imidazolonepropionase
HNMCCAHI_01786	CDS	1125				hypothetical protein
HNMCCAHI_01787	CDS	381				hypothetical protein
HNMCCAHI_01788	CDS	273				hypothetical protein
HNMCCAHI_01789	CDS	1272	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
HNMCCAHI_01790	CDS	705	fabG1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG1
HNMCCAHI_01791	CDS	780	inhA_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH]
HNMCCAHI_01792	CDS	360				hypothetical protein
HNMCCAHI_01793	CDS	684	lldR		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
HNMCCAHI_01794	CDS	1296	yycB		COG2807	putative transporter YycB
HNMCCAHI_01795	CDS	117				hypothetical protein
HNMCCAHI_01796	CDS	213				hypothetical protein
HNMCCAHI_01797	CDS	555		3.1.3.-	COG2062	putative protein
HNMCCAHI_01798	CDS	1230		3.1.3.3	COG0560	Phosphoserine phosphatase
HNMCCAHI_01799	CDS	2565		3.6.3.-	COG0842	ABC transporter ATP-binding/permease protein
HNMCCAHI_01800	CDS	723				hypothetical protein
HNMCCAHI_01801	CDS	1071	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
HNMCCAHI_01802	CDS	984				IS481 family transposase ISSav7
HNMCCAHI_01803	CDS	2817	secA			Protein translocase subunit SecA
HNMCCAHI_01804	CDS	594				hypothetical protein
HNMCCAHI_01805	CDS	1254				hypothetical protein
HNMCCAHI_01806	CDS	804	degU_2		COG2197	Transcriptional regulatory protein DegU
HNMCCAHI_01807	CDS	726	hpf		COG1544	Ribosome hibernation promotion factor
HNMCCAHI_01808	CDS	798				hypothetical protein
HNMCCAHI_01809	CDS	1899	lpqB			Lipoprotein LpqB
HNMCCAHI_01810	CDS	2166	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
HNMCCAHI_01811	CDS	678	mtrA		COG0745	DNA-binding response regulator MtrA
HNMCCAHI_01812	CDS	1146	drdI	5.3.1.-		5-deoxyribose 1-phosphate isomerase
HNMCCAHI_01813	CDS	1281				hypothetical protein
HNMCCAHI_01814	CDS	693				hypothetical protein
HNMCCAHI_01815	CDS	1203				putative membrane protein
HNMCCAHI_01816	CDS	981				hypothetical protein
HNMCCAHI_01817	CDS	1308				hypothetical protein
HNMCCAHI_01818	CDS	1266	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
HNMCCAHI_01819	CDS	768				hypothetical protein
HNMCCAHI_01820	CDS	819				hypothetical protein
HNMCCAHI_01821	CDS	1290				hypothetical protein
HNMCCAHI_01822	CDS	1113	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
HNMCCAHI_01823	CDS	1323	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
HNMCCAHI_01824	CDS	810	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
HNMCCAHI_01825	CDS	363				hypothetical protein
HNMCCAHI_01826	CDS	225				hypothetical protein
HNMCCAHI_01827	CDS	735	eryA_1	2.3.1.94		6-deoxyerythronolide-B synthase EryA2, modules 3 and 4
HNMCCAHI_01828	CDS	183				hypothetical protein
HNMCCAHI_01829	CDS	1140	spnR	2.6.1.110		dTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase
HNMCCAHI_01830	CDS	186				hypothetical protein
HNMCCAHI_01831	CDS	1320	spnQ	4.2.1.164		dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase
HNMCCAHI_01832	CDS	1428	evaA	4.2.1.159		dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase
HNMCCAHI_01833	CDS	1005		1.1.1.384		dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase
HNMCCAHI_01834	CDS	1266	aknK	2.4.1.327		Aclacinomycin-T 2-deoxy-L-fucose transferase
HNMCCAHI_01835	CDS	849	azoB_2	1.7.-.-		NAD(P)H azoreductase
HNMCCAHI_01836	CDS	720				hypothetical protein
HNMCCAHI_01837	CDS	1251				hypothetical protein
HNMCCAHI_01838	CDS	558				hypothetical protein
HNMCCAHI_01839	CDS	177	mbtH		COG3251	Protein MbtH
HNMCCAHI_01840	CDS	981				hypothetical protein
HNMCCAHI_01841	CDS	1401	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
HNMCCAHI_01842	CDS	756	dprE2	1.1.1.333	COG1028	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase
HNMCCAHI_01843	CDS	648	snpA	3.4.24.77		Extracellular small neutral protease
HNMCCAHI_01844	CDS	951				hypothetical protein
HNMCCAHI_01845	CDS	975	ghrA_1	1.1.1.81		Glyoxylate/hydroxypyruvate reductase A
HNMCCAHI_01846	CDS	1242				hypothetical protein
HNMCCAHI_01847	CDS	531	yjcG	3.1.-.-	COG1514	Putative phosphoesterase YjcG
HNMCCAHI_01848	CDS	1014	trpS_1	6.1.1.2	COG0180	Tryptophan--tRNA ligase
HNMCCAHI_01849	CDS	171				hypothetical protein
HNMCCAHI_01850	CDS	186				hypothetical protein
HNMCCAHI_01851	CDS	1230	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
HNMCCAHI_01852	CDS	555				hypothetical protein
HNMCCAHI_01853	CDS	489				hypothetical protein
HNMCCAHI_01854	CDS	252				hypothetical protein
HNMCCAHI_01855	CDS	738				hypothetical protein
HNMCCAHI_01856	CDS	1203				hypothetical protein
HNMCCAHI_01857	CDS	753			COG0217	putative transcriptional regulatory protein
HNMCCAHI_01858	CDS	573	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
HNMCCAHI_01859	CDS	627	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
HNMCCAHI_01860	CDS	1599				hypothetical protein
HNMCCAHI_01861	CDS	204				hypothetical protein
HNMCCAHI_01862	CDS	444				hypothetical protein
HNMCCAHI_01863	CDS	774	ypbG		COG1408	putative protein YpbG
HNMCCAHI_01864	CDS	615				hypothetical protein
HNMCCAHI_01865	CDS	699	azoB_3	1.7.-.-		NAD(P)H azoreductase
HNMCCAHI_01866	CDS	795	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
HNMCCAHI_01867	CDS	1329				hypothetical protein
HNMCCAHI_01868	CDS	2526				hypothetical protein
HNMCCAHI_01869	CDS	774			COG1136	putative ABC transporter ATP-binding protein
HNMCCAHI_01870	tRNA	84				tRNA-Leu(taa)
HNMCCAHI_01871	CDS	606				hypothetical protein
HNMCCAHI_01872	CDS	963	lnrL_4	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
HNMCCAHI_01873	CDS	900				hypothetical protein
HNMCCAHI_01874	CDS	267				hypothetical protein
HNMCCAHI_01875	CDS	933				hypothetical protein
HNMCCAHI_01876	CDS	456				hypothetical protein
HNMCCAHI_01877	CDS	180	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
HNMCCAHI_01878	CDS	939	dadD	3.5.4.31		5'-deoxyadenosine deaminase
HNMCCAHI_01879	CDS	1224	hutI_2	3.5.2.7	COG1228	Imidazolonepropionase
HNMCCAHI_01880	CDS	975	fliA			RNA polymerase sigma factor FliA
HNMCCAHI_01881	CDS	381	rsbV_2		COG1366	Anti-sigma-B factor antagonist
HNMCCAHI_01882	CDS	519				hypothetical protein
HNMCCAHI_01883	CDS	294				hypothetical protein
HNMCCAHI_01884	CDS	1428	ngcE			Diacetylchitobiose binding protein NgcE
